typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate,SourceFile
A,20170101,2017,52,2017,699,IND,India,X,Export,842,USA,USA,0,W00,World,H5,HS,True,41,Raw hides and skins (other than furskins) and leather,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,,True,,False,,18038564.292,18038564.292,0,False,True,,rawhidesrecent.csv
A,20180101,2018,52,2018,699,IND,India,X,Export,842,USA,USA,0,W00,World,H5,HS,True,41,Raw hides and skins (other than furskins) and leather,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,,False,,False,,12656876.9,12656876.9,0,False,True,,rawhidesrecent.csv
A,20190101,2019,52,2019,699,IND,India,X,Export,842,USA,USA,0,W00,World,H5,HS,True,41,Raw hides and skins (other than furskins) and leather,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,0.0,9053030.31,9053030.31,4,False,True,,rawhidesrecent.csv
A,20200101,2020,52,2020,699,IND,India,X,Export,842,USA,USA,0,W00,World,H5,HS,True,41,Raw hides and skins (other than furskins) and leather,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,0.0,9047686.806,9047686.806,4,False,True,,rawhidesrecent.csv
A,20210101,2021,52,2021,699,IND,India,X,Export,842,USA,USA,0,W00,World,H5,HS,True,41,Raw hides and skins (other than furskins) and leather,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,0.0,8751955.708,8751955.708,4,False,True,,rawhidesrecent.csv
A,20220101,2022,52,2022,699,IND,India,X,Export,842,USA,USA,0,W00,World,H6,HS,True,41,Raw hides and skins (other than furskins) and leather,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,,7833554.897,7833554.897,4,False,True,,rawhidesrecent.csv
A,20230101,2023,52,2023,699,IND,India,X,Export,842,USA,USA,0,W00,World,H6,HS,True,41,Raw hides and skins (other than furskins) and leather,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,False,0.0,False,,5831324.617,5831324.617,0,False,True,,rawhidesrecent.csv
A,20240101,2024,52,2024,699,IND,India,X,Export,842,USA,USA,0,W00,World,H6,HS,True,41,Raw hides and skins (other than furskins) and leather,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,,6528082.987,6528082.987,4,False,True,,rawhidesrecent.csv
A,20130101,2013,52,2013,699,IND,India,X,Export,842,USA,USA,0,W00,World,H4,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,,False,-1,,,False,,False,,False,,563074836.0,563074836.0,0,True,False,,steelrecent.csv
A,20140101,2014,52,2014,699,IND,India,X,Export,842,USA,USA,0,W00,World,H4,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,,False,-1,,,False,,False,,False,,732766302.0,732766302.0,0,True,False,,steelrecent.csv
A,20150101,2015,52,2015,699,IND,India,X,Export,842,USA,USA,0,W00,World,H4,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,,False,-1,,,False,,False,,False,,527035784.0,527035784.0,0,True,False,,steelrecent.csv
A,20160101,2016,52,2016,699,IND,India,X,Export,842,USA,USA,0,W00,World,H4,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,,False,-1,,,False,,False,,False,,280927908.0,280927908.0,0,True,False,,steelrecent.csv
A,20170101,2017,52,2017,699,IND,India,X,Export,842,USA,USA,0,W00,World,H5,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,,True,,False,,379092795.036,379092795.036,0,False,True,,steelrecent.csv
A,20180101,2018,52,2018,699,IND,India,X,Export,842,USA,USA,0,W00,World,H5,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,,True,,False,,293173491.194,293173491.194,0,False,True,,steelrecent.csv
A,20190101,2019,52,2019,699,IND,India,X,Export,842,USA,USA,0,W00,World,H5,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,0.0,186140606.926,186140606.926,4,False,True,,steelrecent.csv
A,20200101,2020,52,2020,699,IND,India,X,Export,842,USA,USA,0,W00,World,H5,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,0.0,150555939.293,150555939.293,4,False,True,,steelrecent.csv
A,20210101,2021,52,2021,699,IND,India,X,Export,842,USA,USA,0,W00,World,H5,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,0.0,794309836.07,794309836.07,4,False,True,,steelrecent.csv
A,20220101,2022,52,2022,699,IND,India,X,Export,842,USA,USA,0,W00,World,H6,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,,1013848099.564,1013848099.564,4,False,True,,steelrecent.csv
A,20230101,2023,52,2023,699,IND,India,X,Export,842,USA,USA,0,W00,World,H6,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,,504040874.911,504040874.911,4,False,True,,steelrecent.csv
A,20240101,2024,52,2024,699,IND,India,X,Export,842,USA,USA,0,W00,World,H6,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,,488277622.086,488277622.086,4,False,True,,steelrecent.csv
A,20130101,2013,52,2013,699,IND,India,X,Export,842,USA,USA,0,W00,World,H4,HS,True,30,Pharmaceutical products,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,,False,-1,,,False,,False,,False,,3624184792.0,3624184792.0,0,True,False,,pharmarecent.csv
A,20140101,2014,52,2014,699,IND,India,X,Export,842,USA,USA,0,W00,World,H4,HS,True,30,Pharmaceutical products,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,,False,-1,,,False,,False,,False,,3844568543.0,3844568543.0,0,True,False,,pharmarecent.csv
A,20150101,2015,52,2015,699,IND,India,X,Export,842,USA,USA,0,W00,World,H4,HS,True,30,Pharmaceutical products,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,,False,-1,,,False,,False,,False,,4742511970.0,4742511970.0,0,True,False,,pharmarecent.csv
A,20160101,2016,52,2016,699,IND,India,X,Export,842,USA,USA,0,W00,World,H4,HS,True,30,Pharmaceutical products,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,,False,-1,,,False,,False,,False,,5186187172.0,5186187172.0,0,True,False,,pharmarecent.csv
A,20170101,2017,52,2017,699,IND,India,X,Export,842,USA,USA,0,W00,World,H5,HS,True,30,Pharmaceutical products,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,,True,,False,,4580944612.385,4580944612.385,0,False,True,,pharmarecent.csv
A,20180101,2018,52,2018,699,IND,India,X,Export,842,USA,USA,0,W00,World,H5,HS,True,30,Pharmaceutical products,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,,True,,False,,5033451310.864,5033451310.864,0,False,True,,pharmarecent.csv
A,20190101,2019,52,2019,699,IND,India,X,Export,842,USA,USA,0,W00,World,H5,HS,True,30,Pharmaceutical products,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,0.0,6354114289.038,6354114289.038,4,False,True,,pharmarecent.csv
A,20200101,2020,52,2020,699,IND,India,X,Export,842,USA,USA,0,W00,World,H5,HS,True,30,Pharmaceutical products,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,0.0,6991639471.958,6991639471.958,4,False,True,,pharmarecent.csv
A,20210101,2021,52,2021,699,IND,India,X,Export,842,USA,USA,0,W00,World,H5,HS,True,30,Pharmaceutical products,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,0.0,6617245679.159,6617245679.159,4,False,True,,pharmarecent.csv
A,20220101,2022,52,2022,699,IND,India,X,Export,842,USA,USA,0,W00,World,H6,HS,True,30,Pharmaceutical products,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,,6705766331.557,6705766331.557,4,False,True,,pharmarecent.csv
A,20230101,2023,52,2023,699,IND,India,X,Export,842,USA,USA,0,W00,World,H6,HS,True,30,Pharmaceutical products,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,,7551012559.83,7551012559.83,4,False,True,,pharmarecent.csv
A,20240101,2024,52,2024,699,IND,India,X,Export,842,USA,USA,0,W00,World,H6,HS,True,30,Pharmaceutical products,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,,8723207972.645,8723207972.645,4,False,True,,pharmarecent.csv
